segment,timestamp,longitude,latitude,altitude,horizontal accuracy,vertical accuracy,speed,speed accuracy,course,course accuracy
1,2025-10-21T17:10:29.478776Z,-2.358450091696701,51.37968729429624,25.41027765883939,16.63294354243276,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:10:36.356708Z,-2.3583959720025676,51.37971783358624,25.34683375836424,16.02577845576817,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:10:44.151787Z,-2.3583868373680654,51.379710556049574,25.435338182928632,12.739194677276613,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:10:50.206720Z,-2.3586728717598824,51.37965169665397,25.422254276818663,17.97958148789064,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:10:50.412635Z,-2.3586742473166398,51.3796514135952,25.422254276818663,18.074426141953634,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:10:56.429403Z,-2.3583673434481875,51.379693278293004,25.74874482723476,19.139844324641576,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:11:02.921237Z,-2.358150229132988,51.379790365908896,25.67128599802838,27.349654494859106,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:11:08.988667Z,-2.3579730076154117,51.379756803227366,25.69244767699881,22.008448833712222,30.0,-1.0,-1.0,-1.0,-1.0
1,2025-10-21T17:11:09.030116Z,-2.357787933096801,51.37974505053408,36.56063461303711,11.813978005801998,12.0,5.5,0.5600000023841858,86.8359375,6.585308959021223
1,2025-10-21T17:11:09.836906Z,-2.357623904637012,51.37973605485691,27.81289291381836,3.579836750547509,3.0,5.610000133514404,1.0099999904632568,90.3515625,11.661287837894905
1,2025-10-21T17:11:10.833273Z,-2.3575392081538404,51.37974276447018,24.81258773803711,3.244496795572914,4.0,5.5,1.2400000095367432,87.5390625,15.191722119867993
1,2025-10-21T17:11:11.840598Z,-2.3574582828957835,51.37975205869317,23.96316146850586,3.1715031692557285,4.0,5.28000020980835,1.399999976158142,90.3515625,18.75254049836388
1,2025-10-21T17:11:12.841158Z,-2.357383913883801,51.379761943395316,23.44198226928711,3.3144505856536584,4.0,4.800000190734863,1.6399999856948853,82.96875,23.251258255571123
1,2025-10-21T17:11:13.840999Z,-2.3573111828150637,51.37977946016275,23.33321762084961,3.3371008814872183,3.0,4.300000190734863,0.4000000059604645,83.3203125,6.105149648577088
1,2025-10-21T17:11:14.999433Z,-2.3572577639194163,51.37980405149307,21.97707748413086,3.0840109101682742,3.0,4.300000190734863,0.3400000035762787,87.5390625,5.878228566234462
1,2025-10-21T17:11:15.999460Z,-2.3572177601758937,51.37980798926887,21.81368637084961,3.2988411970862557,3.0,3.75,1.3700000047683716,86.1328125,31.943121351802983
1,2025-10-21T17:11:16.999515Z,-2.3572048031245973,51.379810157621016,21.72311019897461,3.401398091220957,3.0,2.640000104904175,0.5299999713897705,90.703125,8.293017614743551
1,2025-10-21T17:11:17.999567Z,-2.3571938769958454,51.37980611032759,21.50283432006836,3.4854642780859506,3.0,0.6399999856948853,0.9200000166893005,90.703125,10.146485068674892
