segment,timestamp,longitude,latitude,altitude,horizontal accuracy,vertical accuracy,speed,speed accuracy,course,course accuracy
1,2025-10-14T11:34:40.742000Z,-2.4372070137673316,51.381316221640766,49.09225082397461,12.915623944768774,6.0,9.819999694824219,0.75,347.6953125,3.948606210604772
1,2025-10-14T11:34:41.785206Z,-2.4372522124655984,51.38142884991269,48.68673324584961,13.013460623536918,4.0,9.819999694824219,1.3799999952316284,351.5625,7.2566542289572995
1,2025-10-14T11:34:42.793563Z,-2.4372445916598218,51.38151227918012,48.85409164428711,3.5197669380931424,3.0,9.779999732971191,1.0800000429153442,354.375,6.09573337903258
1,2025-10-14T11:34:43.788399Z,-2.437279420385082,51.3816043188359,49.51504135131836,3.547412702922208,3.0,9.989999771118164,1.0700000524520874,349.8046875,5.354185717259819
1,2025-10-14T11:34:44.789130Z,-2.43730256328248,51.38169212561285,48.69448471069336,4.448319329375649,3.0,9.989999771118164,0.7699999809265137,1.40625,5.018241155385449
1,2025-10-14T11:34:45.999210Z,-2.4373071163531645,51.38178897831574,48.82412338256836,3.008164257787337,3.0,10.020000457763672,1.2599999904632568,353.671875,5.455183297629974
1,2025-10-14T11:34:46.999240Z,-2.437302411929778,51.38187680603631,48.52889633178711,3.3676421365961993,3.0,9.880000114440918,1.1799999475479126,358.9453125,5.688638736574187
1,2025-10-14T11:34:47.999278Z,-2.437312048988016,51.3819668925027,48.79281234741211,3.4817054128972984,3.0,9.880000114440918,1.0800000429153442,357.5390625,5.893639180549303
1,2025-10-14T11:34:48.999335Z,-2.437299088939806,51.38204256008969,48.34743881225586,3.517999211206706,3.0,9.630000114440918,0.7200000286102295,3.8671875,5.495710651957068
1,2025-10-14T11:34:49.999400Z,-2.4373019834002916,51.382121854747666,49.09743881225586,3.5294815127593147,3.0,8.850000381469727,0.8799999952316284,357.890625,6.326554072504459
1,2025-10-14T11:34:50.999457Z,-2.437287340158546,51.38220099911175,50.63735580444336,3.5334947103763787,3.0,7.869999885559082,1.2400000095367432,3.515625,7.764243152221383
1,2025-10-14T11:34:51.999517Z,-2.4372666670047978,51.382267573165706,50.53805160522461,3.54236049842403,3.0,7.869999885559082,1.7400000095367432,6.6796875,14.758577135915171
1,2025-10-14T11:34:52.999577Z,-2.437253513789119,51.38233783435583,50.53805652819574,4.748220178749788,4.0208669500483065,7.869999885553083,1.7400000097935309,6.679697773617394,17.914807869521976
1,2025-10-14T11:34:53.999633Z,-2.4372372301151324,51.38239806490916,50.728546949103475,4.748459744974548,4.0293644381876845,7.619999885553638,0.6100000150989419,7.031260468218663,7.258974518679511
1,2025-10-14T11:34:54.999692Z,-2.4372231418802266,51.38246075388927,50.773468390107155,4.748551279721289,4.029364438187768,7.2499999999953095,0.8899999861988765,8.085948944716971,9.94694286414661
1,2025-10-14T11:34:55.999748Z,-2.437197849529185,51.382524488847324,50.751373895443976,4.7486004970559765,4.029364438187724,7.449999809260049,1.0499999528955257,10.898453308062377,11.420119488768208
1,2025-10-14T11:34:56.999796Z,-2.437186554284207,51.38260428370362,51.08261211775243,4.748626049189962,4.02936443818764,7.80999994277368,1.0700000529672289,10.89845407190073,11.10121205265797
1,2025-10-14T11:34:57.999845Z,-2.4371311333295247,51.38266632223098,50.47470196057111,4.748651530192546,4.029364438187641,7.809999942773681,0.519999982553383,17.929714483204858,7.258974518679296
1,2025-10-14T11:34:58.999897Z,-2.437083418125218,51.38272993768,50.76577864680439,4.748651530192549,4.029364438187636,7.829999923700151,0.30801574195386594,19.33596659625091,7.258974518681159
1,2025-10-14T11:34:59.999943Z,-2.4370271139897093,51.382799876301874,50.08828910999,4.748651530192664,4.029364438187502,8.380000114433683,0.3080157633971706,24.960977188361497,7.258974518680632
1,2025-10-14T11:35:00.999979Z,-2.436945536564253,51.38286898078441,50.11258162558079,4.748651530192748,4.029364438187401,8.770000457755385,0.30801575291015404,33.398491678632304,7.2589745186785235
1,2025-10-14T11:35:02.000019Z,-2.436857582125741,51.382919204473765,50.39157332293689,4.748651530192748,4.029364438187402,8.77000045775539,0.3080157770258948,41.13287724476214,7.258974518679328
1,2025-10-14T11:35:03.000057Z,-2.4367399209935647,51.382974218762925,50.02499647811055,4.748651530192798,4.029364438187343,8.989999771109247,0.7699999820704939,45.00007134313299,7.258974518679306
1,2025-10-14T11:35:04.000095Z,-2.4366352033875986,51.38302987473561,50.65951859857887,4.748651530192901,4.029364438187221,9.430000305165493,1.5499999532803217,47.461015479348696,13.318570326158323
1,2025-10-14T11:35:05.000132Z,-2.4365236025001464,51.38304329760325,50.34451615065336,4.7486515301929,4.029364438187223,9.430000305165503,0.5500000139211834,60.11727926193788,7.258974518679145
1,2025-10-14T11:35:06.000167Z,-2.436443087698465,51.38307607774324,50.727448772639036,4.748651530192581,4.029364438187598,7.999999999993723,0.3080157286243314,57.30476305817718,7.258974518679598
1,2025-10-14T11:35:07.000203Z,-2.4363496669504596,51.38311033418256,50.887543799355626,4.748651530192551,4.029364438187634,7.849999904626639,1.0099999909299853,58.35945000500889,10.425318899384623
1,2025-10-14T11:35:08.000239Z,-2.4362493692887366,51.3831388392696,50.79214564245194,4.748651530192516,4.029364438187674,7.679999828333071,1.2100000387690153,61.52351326458535,12.766204702078666
1,2025-10-14T11:35:09.000273Z,-2.436152918275937,51.38316730500244,50.807343397289515,4.748651530192516,4.029364438187674,7.679999828333072,1.230000019658917,63.281326989650346,12.97721614215803
